episode,curriculum_level,scenario,steps,reward,rolling_avg_reward,loss,success_rate,blocked_action_frequency,rollback_count,containment_conflicts,policy_confidence,unsafe_action_count
1,1,LINE_FAULT,5,-151.51,-151.51,0.0000,0.00,1.00,5,0,0.0000,5
2,1,OVERLOAD,5,63.80,-43.86,0.0000,1.00,0.40,2,0,0.0812,2
3,1,LINE_FAULT,5,-160.61,-82.77,0.0000,0.00,1.00,5,0,0.0000,5
4,1,OVERLOAD,5,9.63,-59.67,0.0000,1.00,1.00,5,0,0.1071,5
5,1,OVERLOAD,5,21.51,-43.44,0.0000,1.00,0.80,4,0,0.0668,4
1,1,LINE_FAULT,5,-166.40,-166.40,198639504.3067,0.00,1.00,5,0,0.6000,5
2,1,LINE_FAULT,5,-166.55,-166.47,30869158.4328,0.00,1.00,5,0,0.6000,5
3,1,LINE_FAULT,5,-176.96,-169.97,591078.3876,0.00,1.00,5,0,0.6000,5
4,1,OVERLOAD,5,17.78,-123.03,22923191.1004,1.00,0.60,3,0,0.4192,3
5,1,LINE_FAULT,5,-169.10,-132.24,102559556.3059,0.00,1.00,5,0,0.6000,5
1,1,LINE_FAULT,5,-146.51,-146.51,0.0000,0.00,1.00,5,0,0.0000,5
2,1,LINE_FAULT,5,-131.31,-138.91,0.0000,0.00,1.00,5,0,0.2000,5
3,1,OVERLOAD,5,90.66,-62.39,0.0000,1.00,0.20,1,0,0.0604,1
4,1,OVERLOAD,5,19.35,-41.95,0.0000,1.00,1.00,5,0,0.1029,5
5,1,LINE_FAULT,5,-168.87,-67.34,0.0000,0.00,1.00,5,0,0.0000,5
1,1,LINE_FAULT,5,-176.51,-176.51,9714123.0898,0.00,1.00,5,0,0.6000,5
2,1,OVERLOAD,5,56.81,-59.85,1440075.8827,1.00,0.40,2,0,0.2400,2
3,1,LINE_FAULT,5,-169.10,-96.26,51032257.8070,0.00,1.00,5,0,0.6000,5
4,1,OVERLOAD,5,42.04,-61.69,621.6161,1.00,0.80,4,0,0.0870,4
5,1,OVERLOAD,5,19.18,-45.51,117.8130,1.00,1.00,5,0,0.0954,5
1,1,LINE_FAULT,12,-404.87,-404.87,6108646.7670,0.00,1.00,12,0,0.4167,12
2,1,LINE_FAULT,12,-405.02,-404.95,1777031.0087,0.00,1.00,12,0,0.4167,12
3,1,OVERLOAD,12,-1.21,-270.37,6501750.3752,1.00,0.83,10,0,0.4245,10
4,1,LINE_FAULT,12,-426.37,-309.37,1003779.2272,0.00,1.00,12,0,0.4167,12
5,1,OVERLOAD,12,98.31,-227.83,2110.8051,1.00,0.83,10,0,0.1101,10
6,1,LINE_FAULT,12,-424.77,-260.66,17418.1892,0.00,1.00,12,0,0.4167,12
7,1,LINE_FAULT,12,-417.22,-283.02,13268.3396,0.00,1.00,12,0,0.4167,12
8,1,OVERLOAD,12,23.97,-244.65,1636409.9339,1.00,0.92,11,0,0.2441,11
9,1,LINE_FAULT,12,-407.57,-262.75,9376451.0742,0.00,1.00,12,0,0.4167,12
10,1,OVERLOAD,12,23.94,-234.08,88.2877,1.00,1.00,12,0,0.0945,12
11,1,OVERLOAD,12,22.99,-191.30,156.2862,1.00,1.00,12,0,0.0906,12
12,1,OVERLOAD,12,47.99,-146.00,517.2406,1.00,1.00,12,0,0.0998,12
13,1,OVERLOAD,12,37.99,-142.08,297.0665,1.00,1.00,12,3,0.1063,12
14,1,LINE_FAULT,12,-424.58,-141.90,597642.1764,0.00,1.00,12,0,0.4167,12
15,1,LINE_FAULT,12,-417.22,-193.45,129308.1145,0.00,1.00,12,0,0.4167,12
16,1,OVERLOAD,12,23.45,-148.63,164.7419,1.00,1.00,12,1,0.1032,12
17,1,LINE_FAULT,12,-424.58,-149.36,356039.2124,0.00,1.00,12,0,0.4167,12
18,1,OVERLOAD,12,23.45,-149.41,82.1803,1.00,1.00,12,0,0.1003,12
19,1,LINE_FAULT,12,-407.89,-149.45,46412118.4160,0.00,1.00,12,0,0.4167,12
20,1,LINE_FAULT,12,-417.67,-193.61,33780.2337,0.00,1.00,12,0,0.4167,12
21,1,LINE_FAULT,12,-399.79,-235.89,103774463.4500,0.00,1.00,12,0,0.4167,12
22,1,OVERLOAD,12,38.94,-236.79,299.0210,1.00,1.00,12,2,0.0994,12
23,1,OVERLOAD,12,42.99,-236.29,369.7979,1.00,1.00,12,1,0.1027,12
24,1,OVERLOAD,12,37.99,-190.03,296.1221,1.00,1.00,12,1,0.1004,12
25,1,OVERLOAD,12,37.99,-144.51,261.0172,1.00,1.00,12,0,0.1003,12
26,1,LINE_FAULT,12,-407.89,-187.65,34759.1932,0.00,1.00,12,0,0.4167,12
27,1,OVERLOAD,12,38.94,-141.29,308.9326,1.00,1.00,12,0,0.0974,12
28,1,OVERLOAD,12,22.99,-141.34,149.4002,1.00,1.00,12,0,0.0994,12
29,1,OVERLOAD,12,37.99,-96.75,289.5282,1.00,1.00,12,0,0.0990,12
30,1,OVERLOAD,12,37.99,-51.19,277.4089,1.00,1.00,12,0,0.1020,12
31,1,OVERLOAD,12,22.99,-8.91,68.1875,1.00,1.00,12,1,0.0989,12
32,1,LINE_FAULT,12,-407.89,-53.59,177779.1547,0.00,1.00,12,0,0.4167,12
33,1,OVERLOAD,12,33.94,-54.50,329.7158,1.00,1.00,12,1,0.0961,12
34,1,OVERLOAD,12,7.99,-57.50,20.1710,1.00,1.00,12,1,0.1005,12
35,1,OVERLOAD,12,7.99,-60.50,15.5685,1.00,1.00,12,0,0.0971,12
36,1,OVERLOAD,12,37.99,-15.91,264.5510,1.00,1.00,12,1,0.0954,12
37,1,LINE_FAULT,12,-407.89,-60.59,224861.4230,0.00,1.00,12,0,0.4167,12
38,1,LINE_FAULT,12,-405.02,-103.39,39478.6470,0.00,1.00,12,0,0.4167,12
39,1,OVERLOAD,12,8.94,-106.30,30.0639,1.00,1.00,12,0,0.0967,12
40,1,OVERLOAD,12,37.99,-106.30,266.4111,1.00,1.00,12,2,0.1007,12
