episode,reward,rolling_reward,actor_loss,critic_loss,blackout,stealth_rate
1,252.4963,252.4963,0.66620,6872.14661,1,0.8261
2,133.5596,193.0280,0.00000,17522.69531,1,0.0000
3,133.5585,173.2048,0.00000,17279.80322,1,0.0000
4,133.5585,163.2932,0.00000,16952.16357,1,0.0000
5,133.5683,157.3482,0.00000,16535.56372,1,0.0000
6,158.9685,157.6183,0.00000,23097.33252,1,1.0000
7,133.5585,154.1812,0.00000,15411.18359,1,0.0000
8,133.5586,151.6034,0.00000,14709.04004,1,0.0000
9,133.5586,149.5984,0.00000,13915.55786,1,0.0000
10,133.5585,147.9944,0.00000,13034.93848,1,0.0000
11,133.6014,136.1049,0.00000,12082.54028,1,0.0000
12,133.5900,136.1079,0.00000,11044.87964,1,0.0000
13,133.5585,136.1079,0.00000,9939.97192,1,0.0000
14,133.5585,136.1079,0.00000,8787.14893,1,0.0000
15,133.5586,136.1070,0.00000,7596.12903,1,0.0000
16,133.5585,133.5660,0.00000,6386.83838,1,0.0000
17,133.5585,133.5660,0.00000,5176.60168,1,0.0000
18,133.5604,133.5662,0.00000,3984.01343,1,0.0000
19,133.5586,133.5662,0.00000,2857.57336,1,0.0000
20,158.9685,136.1072,0.00000,4668.44141,1,1.0000
21,133.5585,136.1029,0.00000,999.27992,1,0.0000
22,133.5585,136.0997,0.00000,378.56879,1,0.0000
23,158.9685,138.6407,0.00000,994.42442,1,1.0000
24,133.5585,138.6407,0.00000,49.23225,1,0.0000
25,133.5585,138.6407,0.00000,129.73791,1,0.0000
26,133.5586,138.6407,0.00000,92.72743,1,0.0000
27,133.5585,138.6407,0.00000,16.50824,1,0.0000
28,133.5585,138.6405,0.00000,13.88737,1,0.0000
29,133.5585,138.6405,0.00000,21.72358,1,0.0000
30,133.5585,136.0995,0.00000,3.21678,1,0.0000
31,133.5604,136.0997,0.00000,12.53363,1,0.0000
32,133.5585,136.0997,0.00000,5.31449,1,0.0000
33,133.5585,133.5587,0.00000,4.62028,1,0.0000
34,133.5588,133.5587,0.00000,2.60674,1,0.0000
35,133.5596,133.5588,0.00000,0.56031,1,0.0000
36,133.5585,133.5588,0.00000,0.31972,1,0.0000
37,133.5585,133.5588,0.00000,0.21935,1,0.0000
38,133.5585,133.5588,0.00000,0.56243,1,0.0000
39,158.9685,136.0998,0.00000,551.88848,1,1.0000
40,133.5585,136.0998,0.00000,48.76565,1,0.0000
41,158.9685,138.6406,0.00000,289.58001,1,1.0000
42,158.9685,141.1816,0.00000,157.48814,1,1.0000
43,158.9685,143.7226,0.00000,24.70124,1,1.0000
44,158.9685,146.2636,0.00000,27.63821,1,1.0000
45,133.5585,146.2635,0.00000,1061.12692,1,0.0000
46,133.5584,146.2635,0.00000,820.62169,1,0.0000
47,133.5604,146.2637,0.00000,436.55177,1,0.0000
48,133.5586,146.2637,0.00000,122.58037,1,0.0000
49,158.9685,146.2637,0.00000,594.55243,1,1.0000
50,133.5586,146.2637,0.00000,2.43044,1,0.0000
51,133.5585,143.7227,0.00000,1.31424,1,0.0000
52,133.5585,141.1817,0.00000,0.96600,1,0.0000
53,133.5585,138.6407,0.00000,2.16648,1,0.0000
54,133.5588,136.0997,0.00000,1.44005,1,0.0000
55,133.5777,136.1017,0.00000,1.00795,1,0.0000
56,133.5977,136.1056,0.00000,2.16119,1,0.0000
