timestamp,scenario_id,scenario_type,bus_1_P,bus_2_P,bus_3_P,bus_4_P,bus_5_P,bus_6_P,bus_7_P,bus_8_P,bus_9_P,bus_10_P,bus_11_P,bus_12_P,bus_13_P,bus_14_P,bus_15_P,bus_16_P,bus_17_P,bus_18_P,bus_19_P,bus_20_P,bus_21_P,bus_22_P,bus_23_P,bus_24_P,bus_25_P,bus_26_P,bus_27_P,bus_28_P,bus_29_P,bus_30_P,bus_31_P,bus_32_P,bus_33_P,bus_34_P,bus_35_P,bus_36_P,bus_37_P,bus_38_P,bus_39_P,bus_1_Q,bus_2_Q,bus_3_Q,bus_4_Q,bus_5_Q,bus_6_Q,bus_7_Q,bus_8_Q,bus_9_Q,bus_10_Q,bus_11_Q,bus_12_Q,bus_13_Q,bus_14_Q,bus_15_Q,bus_16_Q,bus_17_Q,bus_18_Q,bus_19_Q,bus_20_Q,bus_21_Q,bus_22_Q,bus_23_Q,bus_24_Q,bus_25_Q,bus_26_Q,bus_27_Q,bus_28_Q,bus_29_Q,bus_30_Q,bus_31_Q,bus_32_Q,bus_33_Q,bus_34_Q,bus_35_Q,bus_36_Q,bus_37_Q,bus_38_Q,bus_39_Q,bus_1_V,bus_2_V,bus_3_V,bus_4_V,bus_5_V,bus_6_V,bus_7_V,bus_8_V,bus_9_V,bus_10_V,bus_11_V,bus_12_V,bus_13_V,bus_14_V,bus_15_V,bus_16_V,bus_17_V,bus_18_V,bus_19_V,bus_20_V,bus_21_V,bus_22_V,bus_23_V,bus_24_V,bus_25_V,bus_26_V,bus_27_V,bus_28_V,bus_29_V,bus_30_V,bus_31_V,bus_32_V,bus_33_V,bus_34_V,bus_35_V,bus_36_V,bus_37_V,bus_38_V,bus_39_V,bus_1_theta,bus_2_theta,bus_3_theta,bus_4_theta,bus_5_theta,bus_6_theta,bus_7_theta,bus_8_theta,bus_9_theta,bus_10_theta,bus_11_theta,bus_12_theta,bus_13_theta,bus_14_theta,bus_15_theta,bus_16_theta,bus_17_theta,bus_18_theta,bus_19_theta,bus_20_theta,bus_21_theta,bus_22_theta,bus_23_theta,bus_24_theta,bus_25_theta,bus_26_theta,bus_27_theta,bus_28_theta,bus_29_theta,bus_30_theta,bus_31_theta,bus_32_theta,bus_33_theta,bus_34_theta,bus_35_theta,bus_36_theta,bus_37_theta,bus_38_theta,bus_39_theta,label
1781879472052,1,NORMAL_OPERATION,103.1709,0.0,310.5107,510.9774,0.0,0.0,217.7372,504.7156,6.4926,0.0,0.0,9.2251,0.0,0.0,323.8608,320.4168,0.0,171.1878,0.0,691.1603,260.0733,0.0,245.6171,330.7513,217.495,136.8128,279.9847,222.6192,271.9927,-263.2074,-641.8375,-656.1592,-652.0203,-488.2498,-644.8032,-563.3827,-532.7473,-852.9726,115.868,46.7229,0.0,2.3144,188.0397,0.0,0.0,78.2289,170.7524,-66.5239,0.0,0.0,95.1707,0.0,0.0,154.846,31.4573,0.0,32.504,0.0,104.6905,109.1549,0.0,83.9564,-98.8181,45.8293,16.7325,75.2272,29.8267,25.8081,-163.5982,-208.8897,-207.4217,-109.4899,-166.6759,-207.0253,-99.0763,2.2834,-29.0646,170.3305,1.038682,1.048271,1.030588,1.004549,1.006881,1.0091,0.999926,0.999376,1.038891,1.017932,1.013627,0.999306,1.014891,1.012361,1.016336,1.032922,1.034239,1.031351,1.050056,0.990875,1.033195,1.050586,1.045524,1.038639,1.05774,1.051965,1.037992,1.04896,1.049239,1.0499,0.982,0.9841,0.9972,1.0123,1.0494,1.0636,1.0275,1.0265,1.03,-0.230006,-0.160491,-0.205025,-0.212868,-0.187585,-0.174141,-0.213621,-0.223737,-0.240797,-0.134698,-0.14821,-0.149371,-0.148061,-0.179489,-0.191017,-0.168027,-0.185897,-0.201271,-0.089309,-0.118277,-0.124962,-0.048054,-0.051462,-0.166917,-0.135364,-0.152333,-0.187802,-0.088043,-0.036613,-0.116108,0.0,0.005938,0.004657,-0.031271,0.037778,0.086331,-0.018519,0.090139,-0.248626,NORMAL
1781879473052,2,NORMAL_OPERATION,74.3676,0.0,245.0932,401.8294,0.0,0.0,168.2483,373.4801,5.2914,0.0,0.0,6.4573,0.0,0.0,249.1238,250.1768,0.0,127.3576,0.0,519.7983,198.5424,0.0,181.9104,236.094,169.9054,102.9238,212.329,147.3439,214.5553,-193.8637,-352.3463,-500.0259,-507.1899,-399.6349,-479.1283,-441.2577,-433.7913,-634.0496,29.8841,33.6788,0.0,1.8268,147.8732,0.0,0.0,60.4485,126.3536,-54.2161,0.0,0.0,66.6168,0.0,0.0,119.1123,24.5614,0.0,24.1818,0.0,78.7342,83.3299,0.0,62.1803,-70.5375,35.8015,12.5878,57.0492,19.7412,20.3582,-101.7402,-88.5138,-100.11,-41.8317,-115.7497,-116.0421,-38.6203,48.566,59.7877,239.9673,1.045926,1.058724,1.048505,1.028976,1.029867,1.031105,1.024654,1.024247,1.047575,1.036934,1.034175,1.026773,1.035619,1.035131,1.039052,1.051302,1.053519,1.050771,1.05962,0.999559,1.050881,1.061538,1.057667,1.055433,1.066594,1.069423,1.058471,1.064912,1.061062,1.0499,0.982,0.9841,0.9972,1.0123,1.0494,1.0636,1.0275,1.0265,1.03,-0.106445,-0.061428,-0.099124,-0.114185,-0.101339,-0.09322,-0.119262,-0.125141,-0.122087,-0.060204,-0.071463,-0.070946,-0.068782,-0.088538,-0.08766,-0.066608,-0.080921,-0.093668,0.000206,-0.016647,-0.034508,0.023005,0.021753,-0.064776,-0.040525,-0.054656,-0.08142,-0.005635,0.030279,-0.029066,0.0,0.04485,0.072904,0.054105,0.086089,0.128476,0.054014,0.12395,-0.117104,NORMAL
1781879474052,3,NORMAL_OPERATION,120.3507,0.0,380.4197,587.9728,0.0,0.0,267.3927,619.8901,8.0188,0.0,0.0,10.2391,0.0,0.0,356.7068,377.6321,0.0,183.6574,0.0,797.542,329.4103,0.0,299.6295,362.4563,263.5912,177.3529,348.8879,243.1091,321.5086,-284.7795,-719.3141,-742.0776,-785.504,-597.9434,-774.4706,-636.1109,-622.8866,-983.0693,29.1379,54.5031,0.0,2.8354,216.374,0.0,0.0,96.0692,209.7176,-82.1623,0.0,0.0,105.6324,0.0,0.0,170.5504,37.0745,0.0,34.8717,0.0,120.8042,138.2561,0.0,102.4188,-108.2906,55.5424,21.6906,93.7403,32.5719,30.5065,-212.5622,-286.3635,-286.8226,-174.6986,-213.1675,-292.8243,-152.0724,-41.0522,-99.326,134.5554,1.034462,1.039805,1.015807,0.985608,0.989253,0.992272,0.980572,0.979988,1.033444,1.003673,0.998215,0.98102,0.999414,0.994867,0.998025,1.016533,1.017463,1.015068,1.041236,0.983462,1.016675,1.040374,1.034477,1.023103,1.049869,1.036847,1.0199,1.037152,1.040055,1.0499,0.982,0.9841,0.9972,1.0123,1.0494,1.0636,1.0275,1.0265,1.03,-0.242112,-0.177981,-0.231849,-0.242658,-0.214342,-0.198776,-0.245922,-0.25726,-0.25724,-0.151463,-0.167604,-0.168471,-0.166501,-0.201904,-0.210042,-0.181734,-0.206152,-0.224899,-0.076876,-0.106054,-0.133044,-0.040845,-0.046692,-0.179902,-0.14981,-0.172334,-0.213671,-0.095018,-0.036125,-0.129566,0.0,0.010018,0.037055,0.00129,0.063319,0.110518,-0.012301,0.110878,-0.252946,NORMAL
1781879475052,4,NORMAL_OPERATION,101.576,0.0,376.9655,588.9154,0.0,0.0,253.8441,581.1266,7.1894,0.0,0.0,9.9189,0.0,0.0,352.1718,359.5375,0.0,171.4115,0.0,730.1461,330.456,0.0,297.9339,342.4116,253.3001,151.1753,303.66,240.3382,311.626,-271.4675,-675.0737,-718.1056,-711.8559,-585.439,-723.5317,-611.4282,-616.7148,-928.7548,23.6025,46.0006,0.0,2.8097,216.7208,0.0,0.0,91.2015,196.6034,-73.664,0.0,0.0,102.3285,0.0,0.0,168.3821,35.2981,0.0,32.5465,0.0,110.5957,138.6951,0.0,101.8392,-102.3019,53.3739,18.4891,81.5884,32.2006,29.5687,-197.4572,-259.1349,-264.0077,-149.4296,-195.3644,-267.6359,-137.0773,-27.4262,-69.8573,150.6021,1.037133,1.04236,1.020004,0.990439,0.994385,0.997252,0.986362,0.985814,1.03463,1.007749,1.002682,0.986325,1.003768,0.9996,1.003123,1.021406,1.023055,1.020329,1.04442,0.986529,1.020954,1.04316,1.037424,1.027665,1.052846,1.043259,1.027311,1.042042,1.043858,1.0499,0.982,0.9841,0.9972,1.0123,1.0494,1.0636,1.0275,1.0265,1.03,-0.218311,-0.160745,-0.215505,-0.228391,-0.200162,-0.18546,-0.229057,-0.239352,-0.23585,-0.140504,-0.155862,-0.156839,-0.155094,-0.189446,-0.198281,-0.170979,-0.191383,-0.208845,-0.070035,-0.091185,-0.128349,-0.042376,-0.0475,-0.16972,-0.132448,-0.154893,-0.193793,-0.087002,-0.031704,-0.114708,0.0,0.01508,0.032922,0.013701,0.054654,0.103172,0.003378,0.1068,-0.229614,NORMAL
1781879476052,5,NORMAL_OPERATION,72.7054,0.0,252.7454,401.0751,0.0,0.0,178.2206,401.4706,5.1418,0.0,0.0,6.4294,0.0,0.0,237.5044,267.4008,0.0,117.2757,0.0,539.8493,229.5349,0.0,207.5246,256.6867,167.8607,107.4436,209.5276,172.4689,218.4071,-202.5294,-574.0217,-530.8676,-476.6166,-420.8738,-532.0188,-442.6687,-441.9961,-629.9644,174.9892,32.926,0.0,1.8838,147.5956,0.0,0.0,64.0314,135.8232,-52.6842,0.0,0.0,66.3287,0.0,0.0,113.5568,26.2524,0.0,22.2675,0.0,81.7713,96.3376,0.0,70.9357,-76.6899,35.3706,13.1406,56.2966,23.1075,20.7236,-105.2928,-130.7914,-115.6759,-44.0971,-120.041,-130.7293,-45.6191,45.7779,56.4367,216.958,1.044906,1.058147,1.04742,1.026149,1.025767,1.027084,1.019815,1.019264,1.044767,1.034295,1.031096,1.023908,1.032958,1.032648,1.037983,1.050107,1.052596,1.049937,1.059175,0.998875,1.048428,1.059983,1.055916,1.054386,1.066082,1.068859,1.057889,1.063812,1.060513,1.0499,0.982,0.9841,0.9972,1.0123,1.0494,1.0636,1.0275,1.0265,1.03,-0.216138,-0.151665,-0.18314,-0.184888,-0.164042,-0.152836,-0.185477,-0.194192,-0.222707,-0.122745,-0.133091,-0.134147,-0.13355,-0.158906,-0.169449,-0.154189,-0.168384,-0.179373,-0.09249,-0.109206,-0.122636,-0.061769,-0.065395,-0.153278,-0.13107,-0.148776,-0.172324,-0.107857,-0.07119,-0.117837,0.0,-0.010898,-0.024187,-0.034619,0.008393,0.041819,-0.034711,0.021901,-0.239221,NORMAL
1781879477052,6,NORMAL_OPERATION,101.53,0.0,352.0376,584.6895,0.0,0.0,248.1409,568.038,7.2144,0.0,0.0,9.6458,0.0,0.0,388.7284,388.0441,0.0,178.4331,0.0,795.5946,311.4824,0.0,279.177,368.6315,243.8825,153.3932,322.5127,214.7688,338.8598,-275.6352,-864.8821,-739.1237,-709.587,-590.8742,-706.9304,-644.1508,-618.3655,-930.8831,168.6521,45.9798,0.0,2.6239,215.1657,0.0,0.0,89.1524,192.1753,-73.9199,0.0,0.0,99.5111,0.0,0.0,185.8608,38.0967,0.0,33.8797,0.0,120.5092,130.7317,0.0,95.4278,-110.1355,51.3895,18.7603,86.6538,28.7749,32.1528,-202.688,-316.595,-282.4532,-156.8869,-206.1203,-269.382,-143.5622,-29.9636,-72.0149,128.8082,1.035776,1.041471,1.018402,0.986928,0.99004,0.992856,0.982187,0.981739,1.032433,1.004508,0.999131,0.983364,1.000313,0.995873,0.999228,1.01943,1.021106,1.01845,1.043265,0.984654,1.020168,1.042695,1.036918,1.02606,1.052304,1.041978,1.025162,1.042244,1.043551,1.0499,0.982,0.9841,0.9972,1.0123,1.0494,1.0636,1.0275,1.0265,1.03,-0.323864,-0.246604,-0.295034,-0.295032,-0.257177,-0.239577,-0.287723,-0.300483,-0.331069,-0.199505,-0.213313,-0.216342,-0.216704,-0.257736,-0.283665,-0.260199,-0.278774,-0.293612,-0.170516,-0.200283,-0.213656,-0.126161,-0.128838,-0.259111,-0.218226,-0.243215,-0.283147,-0.173833,-0.121589,-0.199819,0.0,-0.038807,-0.067831,-0.0943,-0.031322,0.030046,-0.081977,0.017259,-0.347135,NORMAL
1781879478052,7,NORMAL_OPERATION,104.3919,0.0,361.9558,536.5857,0.0,0.0,257.2729,606.6503,7.1011,0.0,0.0,9.2345,0.0,0.0,363.9848,344.5147,0.0,181.0033,0.0,728.5842,301.2576,0.0,292.6551,334.7904,257.3418,168.2463,316.8071,220.0914,326.5565,-279.7078,-535.334,-738.0128,-736.0426,-590.9243,-710.2527,-624.8988,-611.1679,-952.0693,2.1082,47.2758,0.0,2.6978,197.4635,0.0,0.0,92.4334,205.2384,-72.7586,0.0,0.0,95.2676,0.0,0.0,174.0302,33.8232,0.0,34.3677,0.0,110.3591,126.4402,0.0,100.0348,-100.0249,54.2256,20.5769,85.1208,29.488,30.9854,-197.4903,-228.4354,-259.4678,-153.0429,-196.7739,-263.0688,-137.9599,-27.9683,-77.59,151.5004,1.036834,1.042422,1.020713,0.993367,0.996426,0.999212,0.987769,0.986996,1.035006,1.009403,1.004468,0.989836,1.005671,1.001543,1.0031,1.021344,1.022691,1.020211,1.044074,0.986331,1.022046,1.043617,1.03766,1.027495,1.052581,1.041907,1.026034,1.04143,1.04298,1.0499,0.982,0.9841,0.9972,1.0123,1.0494,1.0636,1.0275,1.0265,1.03,-0.162295,-0.102232,-0.157068,-0.176475,-0.159158,-0.146465,-0.189371,-0.1992,-0.186645,-0.094336,-0.112026,-0.11096,-0.107377,-0.137608,-0.137619,-0.105522,-0.128958,-0.148407,0.001161,-0.01901,-0.059619,0.025848,0.021644,-0.103355,-0.073833,-0.093734,-0.133081,-0.018473,0.036421,-0.054799,0.0,0.065333,0.107676,0.086887,0.12105,0.175636,0.060795,0.178499,-0.174481,NORMAL
1781879479052,8,NORMAL_OPERATION,108.8309,0.0,364.0751,580.2416,0.0,0.0,261.433,575.2824,6.8605,0.0,0.0,10.232,0.0,0.0,345.566,378.2359,0.0,186.5942,0.0,719.1444,322.4229,0.0,264.7171,348.0599,256.6613,168.2618,303.151,231.2628,315.0794,-285.4049,-749.3593,-699.6084,-721.665,-548.6707,-713.36,-651.9898,-595.3774,-907.9472,73.1462,49.2861,0.0,2.7136,213.5289,0.0,0.0,93.928,194.6262,-70.2938,0.0,0.0,105.5588,0.0,0.0,165.2238,37.1338,0.0,35.4293,0.0,108.9292,135.3235,0.0,90.4851,-103.9894,54.0822,20.5788,81.4516,30.9847,29.8964,-195.8768,-279.152,-265.0013,-149.6844,-190.9253,-267.5611,-142.2207,-28.1596,-64.3806,140.4055,1.03637,1.042755,1.020012,0.989853,0.993047,0.995844,0.98478,0.984346,1.033425,1.00692,1.001639,0.984619,1.002938,0.998981,1.002941,1.021039,1.022655,1.019867,1.044462,0.986985,1.020671,1.043033,1.037541,1.027207,1.052146,1.043134,1.02719,1.042824,1.044431,1.0499,0.982,0.9841,0.9972,1.0123,1.0494,1.0636,1.0275,1.0265,1.03,-0.260197,-0.194669,-0.244629,-0.252381,-0.222029,-0.206443,-0.252183,-0.263179,-0.272454,-0.164044,-0.178552,-0.180045,-0.178723,-0.213387,-0.222784,-0.196284,-0.22009,-0.238447,-0.098228,-0.123005,-0.148718,-0.058749,-0.060298,-0.193492,-0.168989,-0.192284,-0.227198,-0.127225,-0.074129,-0.146285,0.0,-0.012373,0.006162,-0.024846,0.036925,0.100453,-0.037811,0.061207,-0.274721,NORMAL
1781879480052,9,NORMAL_OPERATION,110.9622,0.0,341.6498,531.6554,0.0,0.0,250.5587,529.6924,6.8388,0.0,0.0,10.0441,0.0,0.0,328.7901,364.5006,0.0,171.6232,0.0,763.3196,321.2965,0.0,283.2665,346.2233,255.9072,161.3946,320.1565,237.4802,307.6931,-263.6063,-891.2085,-724.6689,-663.8019,-562.8616,-709.9228,-601.2095,-602.7161,-868.5596,195.3696,50.2513,0.0,2.5465,195.6492,0.0,0.0,90.0211,179.2024,-70.0715,0.0,0.0,103.6199,0.0,0.0,157.2028,35.7853,0.0,32.5867,0.0,115.6205,134.8507,0.0,96.8256,-103.4407,53.9233,19.7389,86.0207,31.8177,29.1956,-186.5728,-308.3311,-263.4068,-136.2604,-191.7893,-253.1232,-127.4576,-25.4901,-50.6596,132.3481,1.036114,1.044218,1.023126,0.993031,0.99435,0.996765,0.986471,0.98623,1.033338,1.0081,1.002817,0.986436,1.004427,1.001464,1.007044,1.024697,1.026048,1.023432,1.046059,0.986956,1.02392,1.044995,1.039522,1.030834,1.052941,1.045287,1.029509,1.04467,1.046067,1.0499,0.982,0.9841,0.9972,1.0123,1.0494,1.0636,1.0275,1.0265,1.03,-0.350918,-0.273169,-0.313637,-0.302572,-0.263712,-0.246031,-0.293806,-0.306358,-0.348545,-0.208554,-0.22151,-0.225039,-0.22581,-0.26699,-0.295819,-0.27925,-0.299954,-0.313403,-0.1975,-0.226447,-0.236738,-0.152193,-0.156842,-0.27825,-0.248598,-0.277953,-0.311369,-0.221617,-0.170541,-0.228545,0.0,-0.051592,-0.101643,-0.125701,-0.057161,-0.008976,-0.115877,-0.041229,-0.372514,NORMAL
1781879481052,10,NORMAL_OPERATION,84.0076,0.0,249.8121,423.4766,0.0,0.0,201.0096,434.7526,4.9199,0.0,0.0,6.6765,0.0,0.0,264.153,257.911,0.0,130.0149,0.0,516.0167,208.8804,0.0,211.3507,267.1886,166.6289,116.2593,240.2278,170.16,228.8109,-206.8128,-474.5388,-499.2851,-522.7327,-419.3229,-541.5141,-471.6201,-431.5656,-670.2706,26.2295,38.0444,0.0,1.862,155.8394,0.0,0.0,72.219,147.083,-50.4105,0.0,0.0,68.8782,0.0,0.0,126.2981,25.3207,0.0,24.6864,0.0,78.1614,87.6688,0.0,72.2435,-79.8276,35.1111,14.2188,64.5452,22.7981,21.7108,-111.9966,-125.584,-121.7222,-53.0141,-121.3069,-139.2539,-53.8718,39.9552,42.5202,218.125,1.044465,1.056989,1.044714,1.022925,1.023193,1.024717,1.0166,1.016075,1.043688,1.032243,1.02888,1.021042,1.030653,1.029722,1.033977,1.047263,1.04924,1.046627,1.057972,0.998641,1.046939,1.058889,1.054497,1.051777,1.06457,1.065444,1.053596,1.061448,1.058627,1.0499,0.982,0.9841,0.9972,1.0123,1.0494,1.0636,1.0275,1.0265,1.03,-0.147142,-0.09986,-0.137238,-0.151296,-0.136124,-0.126485,-0.1576,-0.164518,-0.161691,-0.094441,-0.105376,-0.105261,-0.103424,-0.124236,-0.123338,-0.100856,-0.118221,-0.131446,-0.027018,-0.040706,-0.064873,-0.001989,-0.005136,-0.099476,-0.079922,-0.097169,-0.12362,-0.049314,-0.010659,-0.065279,0.0,0.010936,0.047958,0.033607,0.069501,0.10925,0.014264,0.088452,-0.156929,NORMAL
