seed,episode,episode_seed,steps,red_reward,blue_reward,blackout,detected,load_served_pct
42,1,420000,50,540.4961454197015,4988.214712364927,0,0,0.9992076486192889
42,2,420001,50,541.0976790096312,4978.025542385179,0,0,0.9940526568780766
42,3,420002,50,550.7762598500971,4972.032928477894,0,0,0.9955695030781333
42,4,420003,50,540.4693717853035,4982.138519707674,0,0,0.9977480522331129
42,5,420004,28,-30.764014684862445,2400.377897129444,1,1,0.0
123,1,1230000,50,550.5333220392771,5007.627386100036,0,0,1.0028100307084766
123,2,1230001,50,555.3509454287471,4981.298071575135,0,0,0.9964295118550646
123,3,1230002,36,63.493983534615836,3210.2057311687668,1,1,0.0
123,4,1230003,50,535.3268696803439,5018.961953461833,0,0,1.004071326997826
123,5,1230004,50,28.854210910799868,4998.583381481369,0,0,0.9981201140553125
999,1,9990000,50,543.6187833431171,5076.438449472647,0,0,1.0152319673580532
999,2,9990001,50,512.0397389639141,5039.880537953294,0,0,1.0062183494904766
999,3,9990002,50,541.1087441289749,4998.588529130366,0,0,1.0009750044052452
999,4,9990003,50,536.4160089070206,4922.895303279737,0,0,0.985966924576591
999,5,9990004,50,541.0143722115045,4961.242766064648,0,0,0.9925948102640056
