timestamp,scenario_id,scenario_type,bus_1_P,bus_2_P,bus_3_P,bus_4_P,bus_5_P,bus_6_P,bus_7_P,bus_8_P,bus_9_P,bus_10_P,bus_11_P,bus_12_P,bus_13_P,bus_14_P,bus_15_P,bus_16_P,bus_17_P,bus_18_P,bus_19_P,bus_20_P,bus_21_P,bus_22_P,bus_23_P,bus_24_P,bus_25_P,bus_26_P,bus_27_P,bus_28_P,bus_29_P,bus_30_P,bus_31_P,bus_32_P,bus_33_P,bus_34_P,bus_35_P,bus_36_P,bus_37_P,bus_38_P,bus_39_P,bus_1_Q,bus_2_Q,bus_3_Q,bus_4_Q,bus_5_Q,bus_6_Q,bus_7_Q,bus_8_Q,bus_9_Q,bus_10_Q,bus_11_Q,bus_12_Q,bus_13_Q,bus_14_Q,bus_15_Q,bus_16_Q,bus_17_Q,bus_18_Q,bus_19_Q,bus_20_Q,bus_21_Q,bus_22_Q,bus_23_Q,bus_24_Q,bus_25_Q,bus_26_Q,bus_27_Q,bus_28_Q,bus_29_Q,bus_30_Q,bus_31_Q,bus_32_Q,bus_33_Q,bus_34_Q,bus_35_Q,bus_36_Q,bus_37_Q,bus_38_Q,bus_39_Q,bus_1_V,bus_2_V,bus_3_V,bus_4_V,bus_5_V,bus_6_V,bus_7_V,bus_8_V,bus_9_V,bus_10_V,bus_11_V,bus_12_V,bus_13_V,bus_14_V,bus_15_V,bus_16_V,bus_17_V,bus_18_V,bus_19_V,bus_20_V,bus_21_V,bus_22_V,bus_23_V,bus_24_V,bus_25_V,bus_26_V,bus_27_V,bus_28_V,bus_29_V,bus_30_V,bus_31_V,bus_32_V,bus_33_V,bus_34_V,bus_35_V,bus_36_V,bus_37_V,bus_38_V,bus_39_V,bus_1_theta,bus_2_theta,bus_3_theta,bus_4_theta,bus_5_theta,bus_6_theta,bus_7_theta,bus_8_theta,bus_9_theta,bus_10_theta,bus_11_theta,bus_12_theta,bus_13_theta,bus_14_theta,bus_15_theta,bus_16_theta,bus_17_theta,bus_18_theta,bus_19_theta,bus_20_theta,bus_21_theta,bus_22_theta,bus_23_theta,bus_24_theta,bus_25_theta,bus_26_theta,bus_27_theta,bus_28_theta,bus_29_theta,bus_30_theta,bus_31_theta,bus_32_theta,bus_33_theta,bus_34_theta,bus_35_theta,bus_36_theta,bus_37_theta,bus_38_theta,bus_39_theta,label
1700000000000,1,NORMAL_OPERATION,74.1629,0.0,245.041,401.6553,0.0,0.0,166.2946,378.9359,5.0169,0.0,0.0,6.5377,0.0,0.0,254.0794,251.8069,0.0,124.4372,0.0,538.6578,216.4784,0.0,190.5935,224.6467,173.2504,99.0032,224.2537,155.209,226.18,-184.3874,-555.1702,-481.4458,-503.0797,-402.4219,-508.7789,-446.6066,-410.7197,-603.7245,115.1856,33.5861,0.0,1.8264,147.8092,0.0,0.0,59.7466,128.1994,-51.4044,0.0,0.0,67.4462,0.0,0.0,121.4817,24.7215,0.0,23.6273,0.0,81.5908,90.8577,0.0,65.1483,-67.1174,36.5063,12.1083,60.2532,20.795,21.4612,-99.2078,-120.7127,-104.7581,-45.8351,-119.6027,-126.2421,-43.86,45.5304,61.3815,228.7316,1.04581,1.059118,1.0482,1.027438,1.027753,1.029031,1.022421,1.02193,1.045895,1.035513,1.032569,1.024997,1.034098,1.033545,1.03749,1.049926,1.052487,1.050063,1.058994,0.998878,1.048946,1.060386,1.056453,1.05392,1.065539,1.069032,1.057576,1.064863,1.061121,1.0499,0.982,0.9841,0.9972,1.0123,1.0494,1.0636,1.0275,1.0265,1.03,-0.201067,-0.149494,-0.178771,-0.180018,-0.15818,-0.147498,-0.177334,-0.185178,-0.205097,-0.121152,-0.130236,-0.131548,-0.131182,-0.154776,-0.162784,-0.145061,-0.162405,-0.174332,-0.081735,-0.10084,-0.112425,-0.052093,-0.054057,-0.142344,-0.131822,-0.148472,-0.170452,-0.110197,-0.076698,-0.118725,0.0,-0.019876,-0.009616,-0.029573,0.014974,0.054068,-0.042238,0.012508,-0.215867,NORMAL
1700000001000,2,PHYSICAL_CONTINGENCY,92.9888,0.0,325.0946,490.2567,0.0,0.0,232.2795,503.9451,6.3786,0.0,0.0,7.9812,0.0,0.0,319.1421,319.8234,0.0,150.0205,0.0,689.8273,267.0761,0.0,234.1788,286.7165,226.3783,136.8984,272.9184,208.1691,274.6482,-245.7226,-707.0398,-625.1373,-625.9848,-494.3303,-631.6362,-557.4374,-523.2993,-797.6101,119.575,42.8227,0.0,2.3828,170.5198,0.0,0.0,80.6151,170.0889,-64.7905,0.0,0.0,85.6767,0.0,0.0,150.3571,32.737,0.0,28.9558,0.0,100.0084,106.582,0.0,79.2603,-91.5448,44.0995,16.4911,71.4687,27.1944,26.0931,-89.1908,-243.8627,-226.3526,-123.3657,-171.8654,-222.9438,-107.22,-2.0635,-31.0023,170.9523,1.042084,1.061275,1.005431,0.993506,1.000039,1.002977,0.993852,0.993488,1.036511,1.012928,1.008407,0.995801,1.009099,1.00428,1.008987,1.025594,1.022123,1.014111,1.047771,0.989985,1.028409,1.048215,1.043276,1.031841,1.056541,1.045355,1.028121,1.0474,1.048321,1.0499,0.982,0.9841,0.9972,1.0123,1.0494,1.0636,1.0275,1.0265,1.03,-0.163816,-0.061362,-0.269264,-0.246047,-0.207934,-0.193228,-0.230356,-0.238494,-0.221134,-0.159826,-0.171346,-0.173753,-0.174055,-0.207983,-0.217564,-0.193736,-0.212116,-0.241025,-0.118044,-0.146126,-0.15134,-0.07416,-0.07652,-0.190541,-0.053496,-0.129585,-0.187106,-0.073629,-0.026845,-0.020437,0.0,-0.025214,-0.027775,-0.057983,0.010105,0.060065,0.061373,0.091715,-0.206051,N1_LINE
1700000002000,3,PHYSICAL_CONTINGENCY,81.3108,0.0,266.2307,395.603,0.0,0.0,191.226,430.048,5.1816,0.0,0.0,6.5256,0.0,0.0,255.6952,262.3796,0.0,132.6467,0.0,568.6882,218.2381,0.0,207.3466,257.6208,174.258,107.5954,216.2911,166.0739,229.9987,-203.7127,-1398.7675,-517.1221,-492.0872,-411.6676,-523.9142,-460.8607,-442.6984,-673.6126,890.0145,37.102,0.0,2.0081,143.218,0.0,0.0,67.1807,141.6716,-54.3188,0.0,0.0,69.1328,0.0,0.0,126.6035,26.4802,0.0,23.4928,0.0,80.0322,94.385,0.0,68.8953,-73.0246,39.2262,14.2097,60.2892,22.8924,20.9356,-292.7308,-612.8016,-313.5377,-93.3304,-142.3203,-183.9276,-77.8943,-43.9219,9.6483,195.9679,0.930054,1.025052,1.011379,0.974455,0.959619,0.962447,0.943213,0.93779,0.913277,0.991205,0.980793,0.975152,0.98905,0.988644,1.009323,1.02994,1.028445,1.021012,1.051714,0.994835,1.03447,1.052492,1.048119,1.035797,1.04538,1.050883,1.036674,1.053998,1.053531,1.0499,0.982,0.9841,0.9972,1.0123,1.0494,1.0636,1.0275,1.0265,0.891554,-0.737502,-0.532496,-0.530751,-0.483616,-0.431563,-0.407043,-0.469988,-0.492434,-0.706096,-0.394552,-0.399165,-0.406346,-0.41166,-0.453305,-0.491543,-0.485308,-0.508345,-0.52322,-0.427079,-0.449472,-0.451351,-0.389282,-0.392036,-0.484059,-0.510054,-0.50363,-0.521412,-0.453775,-0.414913,-0.497371,0.0,-0.280857,-0.356396,-0.376449,-0.319698,-0.279702,-0.412141,-0.315076,-0.857038,N1_GENERATOR
1700000003000,4,PHYSICAL_CONTINGENCY,81.5259,0.0,276.6488,396.8074,0.0,0.0,202.0145,450.1671,5.3348,0.0,0.0,7.0772,0.0,0.0,252.094,282.9838,0.0,128.8265,0.0,578.2331,227.1144,0.0,200.9126,245.8534,186.8059,111.1119,231.1302,172.2484,224.6394,-211.2164,-1911.4555,-536.6602,0.0,-412.7756,-545.0281,-474.2053,-437.1839,-688.4949,872.5675,38.2759,0.0,1.9882,154.9246,0.0,0.0,71.5255,143.3924,-56.8449,0.0,0.0,70.6561,0.0,0.0,121.698,25.5453,0.0,24.4766,0.0,81.2422,93.5827,0.0,68.8323,-79.7701,40.2745,14.104,61.4932,23.2614,22.0492,-417.3542,-1210.2619,-553.1802,0.0,-234.3521,-264.2493,-123.6394,-124.6493,-37.4901,207.9329,0.867843,1.003093,0.974918,0.913579,0.886336,0.889406,0.865044,0.858234,0.823668,0.939966,0.922116,0.917458,0.935932,0.934222,0.971404,1.001263,0.999355,0.989054,1.021633,0.978312,1.01412,1.041512,1.0368,1.009926,1.026647,1.031605,1.01237,1.043549,1.046303,1.0499,0.982,0.9841,0.954797,1.0123,1.0494,1.0636,1.0275,1.0265,0.806761,-1.072531,-0.868852,-0.863867,-0.764869,-0.662892,-0.625413,-0.705789,-0.735014,-1.006217,-0.641469,-0.637171,-0.654833,-0.669952,-0.740962,-0.850264,-0.871165,-0.877439,-0.878967,-0.905078,-0.930429,-0.833746,-0.766782,-0.769111,-0.868466,-0.855565,-0.860758,-0.885771,-0.807446,-0.766462,-0.831635,0.0,-0.516994,-0.905078,-0.856812,-0.693625,-0.652441,-0.757582,-0.664067,-1.199797,INVALID_STATE
1700000004000,5,PHYSICAL_CONTINGENCY,92.7797,0.0,317.063,484.9818,0.0,0.0,221.9935,537.8819,6.2438,0.0,0.0,8.3878,0.0,0.0,314.9128,315.5871,0.0,150.6359,0.0,640.217,264.3517,0.0,251.0056,293.2511,227.4582,138.9717,267.964,197.7359,284.6612,-239.4159,-1923.2376,0.0,-605.6008,-485.4161,0.0,-559.5689,-534.6119,-795.3441,73.242,42.3936,0.0,2.4421,174.9341,0.0,0.0,82.1425,178.7797,-63.2516,0.0,0.0,85.8871,0.0,0.0,150.5294,30.4149,0.0,27.9851,0.0,100.6232,113.3728,0.0,85.905,-86.2093,45.6364,17.1711,74.9928,27.768,26.5848,-264.4421,-1194.7928,0.0,-209.6465,-210.2004,0.0,-246.5035,-77.3502,-67.5565,-31.4822,1.034249,1.030288,0.983551,0.912218,0.895785,0.894701,0.890103,0.893055,0.994084,0.900236,0.89705,0.884032,0.903483,0.917246,0.955562,0.988734,0.99283,0.98793,1.034496,0.983043,0.987076,1.000456,1.007974,0.995951,1.039421,1.029214,1.006228,1.039157,1.042608,1.0499,0.982,0.841342,0.9972,1.0123,0.976055,1.0636,1.0275,1.0265,1.03,-0.790467,-0.765161,-0.810794,-0.760424,-0.657879,-0.625564,-0.68711,-0.705458,-0.757227,-0.686587,-0.666956,-0.68801,-0.70605,-0.755123,-0.845714,-0.852211,-0.843933,-0.839131,-0.770735,-0.793798,-0.863299,-0.837902,-0.820762,-0.862859,-0.751317,-0.795128,-0.837559,-0.738288,-0.692492,-0.724087,0.0,-0.686587,-0.682948,-0.707015,-0.837902,-0.679472,-0.632447,-0.573903,-0.783588,INVALID_STATE
1700000005000,6,PHYSICAL_CONTINGENCY,101.4745,0.0,329.6707,559.855,0.0,0.0,263.311,546.8696,6.7108,0.0,0.0,9.6275,0.0,0.0,337.992,358.5002,0.0,162.1744,0.0,739.6601,292.683,0.0,256.2078,332.1376,235.0662,154.322,308.901,216.8387,312.0139,0.0,-1743.7648,-718.6597,-667.7719,-532.1185,0.0,-590.4193,-567.9578,-868.3973,100.5559,46.4052,0.0,2.6774,193.1983,0.0,0.0,86.3937,186.4333,-72.1091,0.0,0.0,98.085,0.0,0.0,163.9251,35.5038,0.0,31.9748,0.0,111.8846,125.9328,0.0,89.8953,-103.9256,49.7365,17.485,84.3229,29.1981,29.7272,0.0,-894.3298,-473.4631,-218.1812,-224.776,0.0,-252.703,-147.9923,-106.0128,-16.9838,1.023921,1.004604,0.978908,0.935988,0.933908,0.936524,0.927697,0.928763,1.008852,0.962797,0.952583,0.936711,0.955898,0.948604,0.963923,0.990117,0.990611,0.984519,1.033604,0.980772,0.986426,0.999807,1.0074,0.997798,1.023896,1.020393,0.999476,1.032443,1.037457,0.980101,0.982,0.9841,0.9972,1.0123,0.975421,1.0636,1.0275,1.0265,1.03,-0.747763,-0.733405,-0.758866,-0.673001,-0.5652,-0.531936,-0.596064,-0.614646,-0.689427,-0.534434,-0.534596,-0.552016,-0.566433,-0.646324,-0.772908,-0.793508,-0.791572,-0.787587,-0.71031,-0.741083,-0.806296,-0.778704,-0.760092,-0.805864,-0.719321,-0.755321,-0.795604,-0.693118,-0.64272,-0.733405,0.0,-0.371396,-0.613305,-0.645653,-0.778704,-0.610835,-0.59146,-0.512783,-0.731399,N2
1700000006000,7,PHYSICAL_CONTINGENCY,115.8967,0.0,386.2596,606.6632,0.0,0.0,278.2742,634.7325,7.8529,0.0,0.0,10.4007,0.0,0.0,378.2966,395.3022,0.0,187.7139,0.0,806.2689,324.1993,0.0,302.222,369.6428,272.6546,169.8458,335.2567,245.5671,336.9823,-250.0,-1933.8908,-650.0,-632.0,-508.0,-650.0,-560.0,-540.0,-830.0,323.4003,53.102,0.0,2.9252,224.2485,0.0,0.0,99.3507,213.2408,-81.5351,0.0,0.0,104.9297,0.0,0.0,184.743,39.6513,0.0,36.348,0.0,122.5723,140.6612,0.0,103.289,-111.2367,55.889,20.5981,89.4062,33.2829,32.7456,-247.3652,-1097.9083,-504.2819,-187.7093,-217.2163,-301.5006,-153.1975,-77.1814,-77.527,-37.9906,1.032002,1.033381,0.992204,0.92901,0.916288,0.917888,0.906449,0.907475,0.999037,0.953858,0.940335,0.92483,0.948357,0.944836,0.970859,1.00278,1.002839,0.996943,1.038002,0.981941,1.009015,1.037503,1.031677,1.011599,1.039576,1.031318,1.010811,1.037826,1.041435,1.0499,0.982,0.9841,0.9972,1.0123,1.0494,1.0636,1.0275,1.0265,1.03,-0.879948,-0.811013,-0.835872,-0.75578,-0.648303,-0.61129,-0.68907,-0.713205,-0.829155,-0.61705,-0.616098,-0.633382,-0.647256,-0.722369,-0.826132,-0.83357,-0.849661,-0.85391,-0.774826,-0.81833,-0.799793,-0.723379,-0.729125,-0.836809,-0.799834,-0.842956,-0.871344,-0.803154,-0.755991,-0.76825,0.0,-0.468318,-0.683287,-0.727371,-0.63576,-0.590566,-0.679772,-0.632123,-0.89431,VOLTAGE_INSTABILITY
1700000007000,8,CYBER_ATTACK,97.762,0.0,325.7996,510.1438,0.0,0.0,249.071,524.815,6.6006,0.0,0.0,8.0881,0.0,0.0,342.8186,334.0149,0.0,156.5917,0.0,700.0081,215.8639,0.0,184.9966,327.2638,225.0821,140.9044,301.4864,264.3188,279.0079,-258.653,-685.8781,-653.6167,-663.0694,-550.1993,-521.0486,-561.1958,-549.6056,-874.7428,77.1359,46.9248,0.0,2.4491,194.4047,0.0,0.0,87.5619,174.7675,-68.1374,0.0,0.0,93.4039,0.0,0.0,157.1335,31.5651,0.0,30.1213,0.0,103.0575,112.7766,0.0,80.4277,-96.3193,46.1606,17.4867,79.774,29.8616,26.5757,-169.2829,-226.9041,-214.8947,-115.9228,-185.846,-230.2476,-103.4451,-3.6481,-39.5412,168.247,1.038663,1.080874,1.028686,1.001833,1.004092,1.006425,0.996486,0.996142,1.037939,1.016245,1.013742,1.093855,1.01312,1.010121,1.013944,1.0309,1.032142,1.029516,1.049153,0.99033,0.989833,1.049492,1.14,1.036689,1.056734,1.049566,1.035126,1.001729,1.047871,1.0499,0.982,0.9841,0.9972,1.039174,0.976286,1.0636,1.0275,1.0265,1.03,-0.233771,-0.171832,-0.219153,-0.226919,-0.20062,-0.186726,-0.228206,-0.237858,-0.246695,-0.148362,-0.161512,-0.162869,-0.162045,-0.194342,-0.209154,-0.185752,-0.201941,-0.215928,-0.101876,-0.128527,-0.145626,-0.068228,-0.07254,-0.185002,-0.146203,-0.164694,-0.203501,-0.094908,-0.042777,-0.128174,0.0,-0.00804,-0.006264,-0.036805,0.019382,0.064849,-0.025563,0.087324,-0.248944,FDIA
1700000008000,9,CYBER_ATTACK,74.1629,0.0,245.041,401.6553,0.0,0.0,166.2946,378.9359,5.0169,0.0,0.0,6.5377,0.0,0.0,254.0794,251.8069,0.0,124.4372,0.0,538.6578,216.4784,0.0,190.5935,224.6467,173.2504,99.0032,224.2537,155.209,226.18,-184.3874,-555.1702,-481.4458,-503.0797,-402.4219,-508.7789,-446.6066,-410.7197,-603.7245,115.1856,33.5861,0.0,1.8264,147.8092,0.0,0.0,59.7466,128.1994,-51.4044,0.0,0.0,67.4462,0.0,0.0,121.4817,24.7215,0.0,23.6273,0.0,81.5908,90.8577,0.0,65.1483,-67.1174,36.5063,12.1083,60.2532,20.795,21.4612,-99.2078,-120.7127,-104.7581,-45.8351,-119.6027,-126.2421,-43.86,45.5304,61.3815,228.7316,1.04581,1.059118,1.0482,1.027438,1.027753,1.029031,1.022421,1.02193,1.045895,1.035513,1.032569,1.024997,1.034098,1.033545,1.03749,1.049926,1.052487,1.050063,1.058994,0.998878,1.048946,1.060386,1.056453,1.05392,1.065539,1.069032,1.057576,1.064863,1.061121,1.0499,0.982,0.9841,0.9972,1.0123,1.0494,1.0636,1.0275,1.0265,1.03,-0.201067,-0.149494,-0.178771,-0.180018,-0.15818,-0.147498,-0.177334,-0.185178,-0.205097,-0.121152,-0.130236,-0.131548,-0.131182,-0.154776,-0.162784,-0.145061,-0.162405,-0.174332,-0.081735,-0.10084,-0.112425,-0.052093,-0.054057,-0.142344,-0.131822,-0.148472,-0.170452,-0.110197,-0.076698,-0.118725,0.0,-0.019876,-0.009616,-0.029573,0.014974,0.054068,-0.042238,0.012508,-0.215867,REPLAY
1700000009000,10,CYBER_ATTACK,74.1629,0.0,245.041,401.6553,0.0,0.0,166.2946,378.9359,5.0169,0.0,0.0,6.5377,0.0,0.0,254.0794,251.8069,0.0,124.4372,0.0,538.6578,216.4784,0.0,190.5935,224.6467,173.2504,99.0032,224.2537,155.209,226.18,-184.3874,-555.1702,-481.4458,-503.0797,-402.4219,-508.7789,-446.6066,-410.7197,-603.7245,115.1856,33.5861,0.0,1.8264,147.8092,0.0,0.0,59.7466,128.1994,-51.4044,0.0,0.0,67.4462,0.0,0.0,121.4817,24.7215,0.0,23.6273,0.0,81.5908,90.8577,0.0,65.1483,-67.1174,36.5063,12.1083,60.2532,20.795,21.4612,-99.2078,-120.7127,-104.7581,-45.8351,-119.6027,-126.2421,-43.86,45.5304,61.3815,228.7316,1.04581,1.059118,1.0482,1.027438,1.027753,1.029031,1.022421,1.02193,1.045895,1.035513,1.032569,1.024997,1.034098,1.033545,1.03749,1.049926,1.052487,1.050063,1.058994,0.998878,1.048946,1.060386,1.056453,1.05392,1.065539,1.069032,1.057576,1.064863,1.061121,1.0499,0.982,0.9841,0.9972,1.0123,1.0494,1.0636,1.0275,1.0265,1.03,-0.201067,-0.149494,-0.178771,-0.180018,-0.15818,-0.147498,-0.177334,-0.185178,-0.205097,-0.121152,-0.130236,-0.131548,-0.131182,-0.154776,-0.162784,-0.145061,-0.162405,-0.174332,-0.081735,-0.10084,-0.112425,-0.052093,-0.054057,-0.142344,-0.131822,-0.148472,-0.170452,-0.110197,-0.076698,-0.118725,0.0,-0.019876,-0.009616,-0.029573,0.014974,0.054068,-0.042238,0.012508,-0.215867,DOS
